問題番号,問題文,選択肢1(正解),選択肢2,選択肢3,選択肢4,画像
890,Nice to meet you.,お会いできてうれしいです。はじめまして。,元気です。,（どうも）ありがとう。,どういたしまして。,
891,Thank you (very much).,（どうも）ありがとう。,お会いできてうれしいです。はじめまして。,どういたしまして。,ごめんなさい。すみません。,
892,You're welcome.,どういたしまして。,（どうも）ありがとう。,ごめんなさい。すみません。,(話しかけるときなど)すみません。,
893,I'm sorry.,ごめんなさい。すみません。,どういたしまして。,(話しかけるときなど)すみません。,(午後に)こんにちは。,
894,Excuse me.,(話しかけるときなど)すみません。,ごめんなさい。すみません。,(午後に)こんにちは。,こんばんは。,
895,Good afternoon.,(午後に)こんにちは。,(話しかけるときなど)すみません。,こんばんは。,さようなら。,
896,Good evening.,こんばんは。,(午後に)こんにちは。,さようなら。,とても元気です。,
897,Goodbye.,さようなら。,こんばんは。,とても元気です。,悪くありません。,
898,I'm great.,とても元気です。,さようなら。,悪くありません。,あまり元気ではありません。,
899,Not bad.,悪くありません。,とても元気です。,あまり元気ではありません。,〜をありがとう。,
900,Not so good.,あまり元気ではありません。,悪くありません。,〜をありがとう。,わかりました。なるほど。,
901,Thak you for ～.,〜をありがとう。,あまり元気ではありません。,わかりました。なるほど。,本当に,
902,I see.,わかりました。なるほど。,〜をありがとう。,本当に,その通りです。,
903,really,本当に,わかりました。なるほど。,その通りです。,はい，どうぞ。,
904,That's right.,その通りです。,本当に,はい，どうぞ。,～はどこですか。,
905,Here you are.,はい，どうぞ。,その通りです。,～はどこですか。,～に沿って行ってください。,
906,Where is ～?,～はどこですか。,はい，どうぞ。,～に沿って行ってください。,左に曲がってください。,
907,Go along ～.,～に沿って行ってください。,～はどこですか。,左に曲がってください。,右へ,
908,Turn left.,左に曲がってください。,～に沿って行ってください。,右へ,何になさいますか。,
909,right,右へ,左に曲がってください。,何になさいますか。,～をお願いします。,
910,What would you like?,何になさいますか。,右へ,～をお願いします。,～はいかがですか。,
911,I'd like ～.,～をお願いします。,何になさいますか。,～はいかがですか。,ジュース,
912,Would you like ～?,～はいかがですか。,～をお願いします。,ジュース,まっすぐ行ってください。,
913,juice,ジュース,～はいかがですか。,まっすぐ行ってください。,最初の角で,
914,Go straight.,まっすぐ行ってください。,ジュース,最初の角で,２番目の,
915,at the first corner,最初の角で,まっすぐ行ってください。,２番目の,～のとなりに,
916,second,２番目の,最初の角で,～のとなりに,いいえ，結構です。,
917,next to ～,～のとなりに,２番目の,いいえ，結構です。,オムレツ,
918,"No, thank you.",いいえ，結構です。,～のとなりに,オムレツ,ドレス,
919,omelet,オムレツ,いいえ，結構です。,ドレス,かわいい，きれいな,
920,dress,ドレス,オムレツ,かわいい，きれいな,チケット，切符,
921,pretty,かわいい，きれいな,ドレス,チケット，切符,水,
922,ticket,チケット，切符,かわいい，きれいな,水,[山などの高さが]高い,
923,water,水,チケット，切符,[山などの高さが]高い,考え，アイデア,
924,high,[山などの高さが]高い,水,考え，アイデア,また会いましょう。,
925,idea,考え，アイデア,[山などの高さが]高い,また会いましょう。,すばらしい,
926,See you again.,また会いましょう。,考え，アイデア,すばらしい,寒い,
927,wonderful,すばらしい,また会いましょう。,寒い,待つ,
928,cold,寒い,すばらしい,待つ,助ける,
929,wait,待つ,寒い,助ける,年,
930,help,助ける,待つ,年,空,
931,year,年,助ける,空,少し,
932,sky,空,年,少し,交通信号，信号機,
933,a little,少し,空,交通信号，信号機,昨夜,
934,traffic light,交通信号，信号機,少し,昨夜,～を書く,
935,last night,昨夜,交通信号，信号機,～を書く,そのとき，それから,
936,write,～を書く,昨夜,そのとき，それから,泳ぐ,
937,then,そのとき，それから,～を書く,泳ぐ,川,
938,swim,泳ぐ,そのとき，それから,川,～をそうじする,
939,river,川,泳ぐ,～をそうじする,部屋,
940,clean,～をそうじする,川,部屋,映画,
941,room,部屋,～をそうじする,映画,〜と話す,
942,movie,映画,部屋,〜と話す,親（parentsで「両親」）,
943,talk with ～,〜と話す,映画,親（parentsで「両親」）,眠る,
944,parent,親（parentsで「両親」）,〜と話す,眠る,人々,
945,sleep,眠る,親（parentsで「両親」）,人々,教室,
946,people,人々,眠る,教室,（絵の具で絵）を描く,
947,classroom,教室,人々,（絵の具で絵）を描く,すわる,
948,paint,（絵の具で絵）を描く,教室,すわる,体育館,
949,sit,すわる,（絵の具で絵）を描く,体育館,チームメート,
950,gym,体育館,すわる,チームメート,（～を）練習する,
951,teammate,チームメート,体育館,（～を）練習する,そのとき,
952,practice,（～を）練習する,チームメート,そのとき,〜を待つ,
953,at that time,そのとき,（～を）練習する,〜を待つ,昨日の午後,
954,wait for ～,〜を待つ,そのとき,昨日の午後,走る,
955,yesterday afternoon,昨日の午後,〜を待つ,走る,バレーボール,
956,run,走る,昨日の午後,バレーボール,電話で,
957,volleyball,バレーボール,走る,電話で,ふろに入る,
958,on the phone,電話で,バレーボール,ふろに入る,マンガ本,
959,take a bath,ふろに入る,電話で,マンガ本,いっしょに,
960,comic book,マンガ本,ふろに入る,いっしょに,雨が降る,
961,together,いっしょに,マンガ本,雨が降る,台所,
962,rain,雨が降る,いっしょに,台所,テレビゲーム,
963,kitchen,台所,雨が降る,テレビゲーム,１時間前に,
964,video game,テレビゲーム,台所,１時間前に,立つ,
965,an hour ago,１時間前に,テレビゲーム,立つ,門,
966,stand,立つ,１時間前に,門,かつて，昔,
967,gate,門,立つ,かつて，昔,今朝,
968,once,かつて，昔,門,今朝,英語で,
969,this morning,今朝,かつて，昔,英語で,～に乗る,
970,in English,英語で,今朝,～に乗る,～を洗う,
971,ride,～に乗る,英語で,～を洗う,帰宅する，家に着く,
972,wash,～を洗う,～に乗る,帰宅する，家に着く,(時刻や時期が)遅く,
973,get home,帰宅する，家に着く,～を洗う,(時刻や時期が)遅く,sayの過去形,
974,late,(時刻や時期が)遅く,帰宅する，家に着く,sayの過去形,静かに,
975,said,sayの過去形,(時刻や時期が)遅く,静かに,お帰りなさい。,
976,quietly,静かに,sayの過去形,お帰りなさい。,放課後,
977,Welcome home.,お帰りなさい。,静かに,放課後,明日,
978,after school,放課後,お帰りなさい。,明日,（～を）学ぶ，習う,
979,tomorrow,明日,放課後,（～を）学ぶ，習う,～を借りる,
980,learn,（～を）学ぶ，習う,明日,～を借りる,カード,
981,borrow,～を借りる,（～を）学ぶ，習う,カード,～を持ち続ける,
982,card,カード,～を借りる,～を持ち続ける,（～と）会う，出会う,
983,keep,～を持ち続ける,カード,（～と）会う，出会う,次の，今度の,
984,meet,（～と）会う，出会う,～を持ち続ける,次の，今度の,明日（は）,
985,next,次の，今度の,（～と）会う，出会う,明日（は）,今日（は）,
986,tomorrow,明日（は）,次の，今度の,今日（は）,～を買う,
987,today,今日（は）,明日（は）,～を買う,歩く，歩いていく,
988,buy,～を買う,今日（は）,歩く，歩いていく,放課後（に）,
989,walk,歩く，歩いていく,～を買う,放課後（に）,泳ぐ,
990,after school,放課後（に）,歩く，歩いていく,泳ぐ,今日の午後,
991,swim,泳ぐ,放課後（に）,今日の午後,～を訪問する，訪れる,
992,this afternoon,今日の午後,泳ぐ,～を訪問する，訪れる,寒い,
993,visit,～を訪問する，訪れる,今日の午後,寒い,博物館，美術館,
994,cold,寒い,～を訪問する，訪れる,博物館，美術館,暑い,
995,museum,博物館，美術館,寒い,暑い,週末,
996,hot,暑い,博物館，美術館,週末,カレーライス,
997,weekend,週末,暑い,カレーライス,映画,
998,curry and rice,カレーライス,週末,映画,（～を）勉強する,
999,movie,映画,カレーライス,（～を）勉強する,日本語,
1000,study,（～を）勉強する,映画,日本語,いっしょに,
1001,Japanese,日本語,（～を）勉強する,いっしょに,パーティー,
1002,together,いっしょに,日本語,パーティー,（～を）練習する,
1003,party,パーティー,いっしょに,（～を）練習する,動物園,
1004,practice,（～を）練習する,パーティー,動物園,バスで,
1005,zoo,動物園,（～を）練習する,バスで,雨が降る,
1006,by bus,バスで,動物園,雨が降る,コンサート,
1007,rain,雨が降る,バスで,コンサート,始まる,
1008,concert,コンサート,雨が降る,始まる,今晩，今日の夕方,
1009,start,始まる,コンサート,今晩，今日の夕方,魚つりに行く,
1010,this evening,今晩，今日の夕方,始まる,魚つりに行く,川,
1011,go fishing,魚つりに行く,今晩，今日の夕方,川,滞在する,
1012,river,川,魚つりに行く,滞在する,今夜（は）,
1013,stay,滞在する,川,今夜（は）,写真,
1014,tonight,今夜（は）,滞在する,写真,晴れの,
1015,photo,写真,今夜（は）,晴れの,暖かい,
1016,sunny,晴れの,写真,暖かい,起きる,
1017,warm,暖かい,晴れの,起きる,旅行する,
1018,get up,起きる,暖かい,旅行する,9月,
1019,travel,旅行する,起きる,9月,冬休み,
1020,September,9月,旅行する,冬休み,計画，予定,
1021,winter vacation,冬休み,9月,計画，予定,たくさんの～,
1022,plan,計画，予定,冬休み,たくさんの～,おもしろいこと，楽しさ,
1023,a lot of ～,たくさんの～,計画，予定,おもしろいこと，楽しさ,買い物に行く,
1024,fun,おもしろいこと，楽しさ,たくさんの～,買い物に行く,1週間,
1025,go shopping,買い物に行く,おもしろいこと，楽しさ,1週間,休日，祝日，祭日,
1026,for a week,1週間,買い物に行く,休日，祝日，祭日,旅行,
1027,holiday,休日，祝日，祭日,1週間,旅行,1日中,
1028,trip,旅行,休日，祝日，祭日,1日中,考える，思う,
1029,all day,1日中,旅行,考える，思う,飛行機,
1030,think,考える，思う,1日中,飛行機,問題,
1031,plane,飛行機,考える，思う,問題,～に話す，言う，教える,
1032,problem,問題,飛行機,～に話す，言う，教える,（ガラスの）コップ，グラス,
1033,tell,～に話す，言う，教える,問題,（ガラスの）コップ，グラス,店,
1034,glass,（ガラスの）コップ，グラス,～に話す，言う，教える,店,～の近くに,
1035,shop,店,（ガラスの）コップ，グラス,～の近くに,～の下に,
1036,near ～,～の近くに,店,～の下に,～の後ろに,
1037,under ～,～の下に,～の近くに,～の後ろに,～のまわりに,
1038,behind ～,～の後ろに,～の下に,～のまわりに,辞書,
1039,around,～のまわりに,～の後ろに,辞書,窓のそばに,
1040,dictionary,辞書,～のまわりに,窓のそばに,古い,
1041,by the window,窓のそばに,辞書,古い,木,
1042,old,古い,窓のそばに,木,図書館，図書室,
1043,tree,木,古い,図書館，図書室,2年前に,
1044,library,図書館，図書室,木,2年前に,いす,
1045,two years ago,2年前に,図書館，図書室,いす,ベンチ,
1046,chair,いす,2年前に,ベンチ,いくつの［どれだけ（多く）の］～ですか。,
1047,bench,ベンチ,いす,いくつの［どれだけ（多く）の］～ですか。,博物館，美術館,
1048,How many ～?,いくつの［どれだけ（多く）の］～ですか。,ベンチ,博物館，美術館,(ふちのない)ぼうし,
1049,museum,博物館，美術館,いくつの［どれだけ（多く）の］～ですか。,(ふちのない)ぼうし,かべ,
1050,cap,(ふちのない)ぼうし,博物館，美術館,かべ,ドア，戸,
1051,wall,かべ,(ふちのない)ぼうし,ドア，戸,書店，本屋,
1052,door,ドア，戸,かべ,書店，本屋,駅,
1053,bookstore,書店，本屋,ドア，戸,駅,人々,
1054,station,駅,書店，本屋,人々,庭，庭園,
1055,people,人々,駅,庭，庭園,門,
1056,garden,庭，庭園,人々,門,掛け時計，置き時計,
1057,gate,門,庭，庭園,掛け時計，置き時計,たくさんの～,
1058,clock,掛け時計，置き時計,門,たくさんの～,コイン，硬貨,
1059,a lot of ～,たくさんの～,掛け時計，置き時計,コイン，硬貨,びん,
1060,coin,コイン，硬貨,たくさんの～,びん,冷蔵庫,
1061,bottle,びん,コイン，硬貨,冷蔵庫,郵便局,
1062,fridge,冷蔵庫,びん,郵便局,あそこに，向こうに,
1063,post office,郵便局,冷蔵庫,あそこに，向こうに,自分自身の,
1064,over there,あそこに，向こうに,郵便局,自分自身の,座席,
1065,own,自分自身の,あそこに，向こうに,座席,会館，ホール,
1066,seat,座席,自分自身の,会館，ホール,季節,
1067,hall,会館，ホール,座席,季節,レストラン,
1068,season,季節,会館，ホール,レストラン,～の前で[に],
1069,restaurant,レストラン,季節,～の前で[に],おもしろい，興味深い,
1070,in front of ～,～の前で[に],レストラン,おもしろい，興味深い,物語，話,
1071,interesting,おもしろい，興味深い,～の前で[に],物語，話,ダンサー，踊り手,
1072,story,物語，話,おもしろい，興味深い,ダンサー，踊り手,寺院,
1073,dancer,ダンサー，踊り手,物語，話,寺院,雲,
1074,temple,寺院,ダンサー，踊り手,雲,空,
1075,cloud,雲,寺院,空,～を持って来る，連れて来る,
1076,sky,空,雲,～を持って来る，連れて来る,（～を）学ぶ，習う,
1077,bring,～を持って来る，連れて来る,空,（～を）学ぶ，習う,入浴中に,
1078,learn,（～を）学ぶ，習う,～を持って来る，連れて来る,入浴中に,（～を）理解する，わかる,
1079,during bath time,入浴中に,（～を）学ぶ，習う,（～を）理解する，わかる,言語,
1080,understand,（～を）理解する，わかる,入浴中に,言語,世界,
1081,language,言語,（～を）理解する，わかる,世界,文化,
1082,world,世界,言語,文化,事，物,
1083,culture,文化,世界,事，物,～を手伝う，助ける,
1084,thing,事，物,文化,～を手伝う，助ける,～を使う,
1085,help,～を手伝う，助ける,事，物,～を使う,踊る，ダンスをする,
1086,use,～を使う,～を手伝う，助ける,踊る，ダンスをする,明日（は）,
1087,dance,踊る，ダンスをする,～を使う,明日（は）,（～を）知っている,
1088,tomorrow,明日（は）,踊る，ダンスをする,（～を）知っている,いいですよ。,
1089,know,（～を）知っている,明日（は）,いいですよ。,わかりました。,
1090,Sure.,いいですよ。,（～を）知っている,わかりました。,すみません。ごめんなさい。,
1091,All right.,わかりました。,いいですよ。,すみません。ごめんなさい。,～に電話する,
1092,I'm sorry.,すみません。ごめんなさい。,わかりました。,～に電話する,言語,
1093,call,～に電話する,すみません。ごめんなさい。,言語,（～に）答える,
1094,language,言語,～に電話する,（～に）答える,質問，問題,
1095,answer,（～に）答える,言語,質問，問題,～を買う,
1096,question,質問，問題,（～に）答える,～を買う,今日（は）,
1097,buy,～を買う,質問，問題,今日（は）,家へ帰る，帰宅する,
1098,today,今日（は）,～を買う,家へ帰る，帰宅する,手紙,
1099,go home,家へ帰る，帰宅する,今日（は）,手紙,古い,
1100,letter,手紙,家へ帰る，帰宅する,古い,（～を）料理する,
1101,old,古い,手紙,（～を）料理する,かさ,
1102,cook,（～を）料理する,古い,かさ,バイオリン,
1103,umbrella,かさ,（～を）料理する,バイオリン,マンガ本,
1104,violin,バイオリン,かさ,マンガ本,日本語で,
1105,comic book,マンガ本,バイオリン,日本語で,起きる,
1106,in Japanese,日本語で,マンガ本,起きる,ラケット,
1107,get up,起きる,日本語で,ラケット,熱心に，一生けん命に・難しい,
1108,racket,ラケット,起きる,熱心に，一生けん命に・難しい,川,
1109,hard,熱心に，一生けん命に・難しい,ラケット,川,駅,
1110,river,川,熱心に，一生けん命に・難しい,駅,（寝ないで）起きている,
1111,station,駅,川,（寝ないで）起きている,(時刻や時期が)遅く，遅い，遅れた,
1112,stay up,（寝ないで）起きている,駅,(時刻や時期が)遅く，遅い，遅れた,～に遅れる，遅刻する,
1113,late,(時刻や時期が)遅く，遅い，遅れた,（寝ないで）起きている,～に遅れる，遅刻する,～を洗う,
1114,be late for ～,～に遅れる，遅刻する,(時刻や時期が)遅く，遅い，遅れた,～を洗う,～を楽しむ,
1115,wash,～を洗う,～に遅れる，遅刻する,～を楽しむ,通り,
1116,enjoy,～を楽しむ,～を洗う,通り,ラグビー,
1117,street,通り,～を楽しむ,ラグビー,～に登る,
1118,rugby,ラグビー,通り,～に登る,山,
1119,climb,～に登る,ラグビー,山,寝る,
1120,mountain,山,～に登る,寝る,みなさん,
1121,go to bed,寝る,山,みなさん,ペット,
1122,everyone,みなさん,寝る,ペット,人気がある,
1123,pet,ペット,みなさん,人気がある,～を与える,
1124,popular,人気がある,ペット,～を与える,食べ物,
1125,give,～を与える,人気がある,食べ物,ほかの,
1126,food,食べ物,～を与える,ほかの,～を意味する,
1127,other,ほかの,食べ物,～を意味する,（～を）理解する，わかる,
1128,mean,～を意味する,ほかの,（～を）理解する，わかる,川,
1129,understand,（～を）理解する，わかる,～を意味する,川,起きる,
1130,river,川,（～を）理解する，わかる,起きる,～を買う,
1131,get up,起きる,川,～を買う,週末,
1132,buy,～を買う,起きる,週末,ラジオ,
1133,weekend,週末,～を買う,ラジオ,音楽家，ミュージシャン,
1134,radio,ラジオ,週末,音楽家，ミュージシャン,映画,
1135,musician,音楽家，ミュージシャン,ラジオ,映画,眠る,
1136,movie,映画,音楽家，ミュージシャン,眠る,（～を）歌う,
1137,sleep,眠る,映画,（～を）歌う,歌,
1138,sing,（～を）歌う,眠る,歌,～を楽しむ,
1139,song,歌,（～を）歌う,～を楽しむ,～が得意［上手］だ,
1140,enjoy,～を楽しむ,歌,～が得意［上手］だ,怒って,
1141,be good at ～,～が得意［上手］だ,～を楽しむ,怒って,空腹な,
1142,angry,怒って,～が得意［上手］だ,空腹な,～のように聞こえる,
1143,hungry,空腹な,怒って,～のように聞こえる,～のように感じる,
1144,sound,～のように聞こえる,空腹な,～のように感じる,～な味がする,
1145,feel,～のように感じる,～のように聞こえる,～な味がする,～なにおいがする,
1146,taste,～な味がする,～のように感じる,～なにおいがする,親（parentsで「両親」）,
1147,smell,～なにおいがする,～な味がする,親（parentsで「両親」）,疲れて,
1148,parent,親（parentsで「両親」）,～なにおいがする,疲れて,再び，また,
1149,tired,疲れて,親（parentsで「両親」）,再び，また,将来，未来に,
1150,again,再び，また,疲れて,将来，未来に,いつも,
1151,in the future,将来，未来に,再び，また,いつも,旅行する,
1152,always,いつも,将来，未来に,旅行する,スケートをする,
1153,travel,旅行する,いつも,スケートをする,湖,
1154,skate,スケートをする,旅行する,湖,～を投げる,
1155,lake,湖,スケートをする,～を投げる,昨夜,
1156,throw,～を投げる,湖,昨夜,悲しい,
1157,last night,昨夜,～を投げる,悲しい,考え，アイデア,
1158,sad,悲しい,昨夜,考え，アイデア,おもしろい，興味深い,
1159,idea,考え，アイデア,悲しい,おもしろい，興味深い,博物館，美術館,
1160,interesting,おもしろい，興味深い,考え，アイデア,博物館，美術館,突然，急に,
1161,museum,博物館，美術館,おもしろい，興味深い,突然，急に,（線で絵）をかく,
1162,suddenly,突然，急に,博物館，美術館,（線で絵）をかく,ハンバーガー,
1163,draw,（線で絵）をかく,突然，急に,ハンバーガー,（とても）おいしい,
1164,hamburger,ハンバーガー,（線で絵）をかく,（とても）おいしい,物語，話,
1165,delicious,（とても）おいしい,ハンバーガー,物語，話,本当の,
1166,story,物語，話,（とても）おいしい,本当の,ときどき,
1167,true ,本当の,物語，話,ときどき,眠い,
1168,sometimes,ときどき,本当の,眠い,(時刻や時期が)早く,
1169,sleepy,眠い,ときどき,(時刻や時期が)早く,プロの,
1170,early,(時刻や時期が)早く,眠い,プロの,選手，(スポーツを)する人,
1171,professional,プロの,(時刻や時期が)早く,選手，(スポーツを)する人,計画，予定,
1172,player,選手，(スポーツを)する人,プロの,計画，予定,サンドイッチ,
1173,plan,計画，予定,選手，(スポーツを)する人,サンドイッチ,水,
1174,sandwich,サンドイッチ,計画，予定,水,心配して，不安で,
1175,water,水,サンドイッチ,心配して，不安で,～の前で[に],
1176,nervous,心配して，不安で,水,～の前で[に],（天体の）月,
1177,in front of ～,～の前で[に],心配して，不安で,（天体の）月,手紙,
1178,moon,（天体の）月,～の前で[に],手紙,太陽,
1179,letter,手紙,（天体の）月,Eメール,書類,
